CustomerID,FirstName,LastName,Email,Phone,City,StateProvince,CountryCode,PostalCode,LastModified
1,Priya,Shah,priya.shah@example.com,416-555-1001,Toronto,Ontario,CA,M4B1B3,2024-12-28 10:00:00
2,Arjun,Patel,arjun.patel@example.com,647-555-1002,Mississauga,Ontario,CA,L5B4A1,2024-12-28 10:05:00
3,Emily,Wong,emily.wong@example.com,905-555-1003,Markham,Ontario,CA,L3P2N3,2024-12-28 10:10:00
4,Noah,Brown,noah.brown@example.com,437-555-1004,Brampton,Ontario,CA,L6R1Y5,2024-12-28 10:15:00
5,Olivia,Martin,olivia.martin@example.com,416-555-1005,Vancouver,British Columbia,CA,V5K0A1,2024-12-28 10:20:00
6,Lucas,Singh,lucas.singh@example.com,604-555-1006,Surrey,British Columbia,CA,V3T2W1,2024-12-28 10:25:00
7,Liam,Johnson,liam.johnson@example.com,212-555-2001,New Yrok,New York,US,10001,2024-12-28 10:30:00
8,Ava,Davis,ava.davis@example.com,213-555-2002,Los Angeles,Calif.,US,90001,2024-12-28 10:35:00
9,Sophia,Lee,sophia.lee@example.com,206-555-2003,Seattle,Washington,US,98101,2024-12-28 10:40:00
10,Ethan,Garcia,ethan.garcia@example.com,305-555-2004,Miami,Florida,US,33101,2024-12-28 10:45:00
